trace_id,log_count,first_event,last_event,duration_ms
025f95f7659047b8b0c121260d688e1a:b0c121260d688e1a:0:0,2914,APM-SERVICE-EVENT,callback_event,20000000.0
0410cecc87a94e6f8312567a60683ecf:8312567a60683ecf:0:0,183,callback_event,/auth/announcement onFinish Bundle[{}],0.0
042b6405fac94fc7841982b43a68a69b:841982b43a68a69b:0:0,723,callback_event,callback_event,0.0
044a5da24dfd4df9854066a24b683f01:854066a24b683f01:0:0,1005,callback_event,init.start.api,0.0
063cd5b7e09a48f6a7b8b8680b683ecf:a7b8b8680b683ecf:0:0,1347,callback_event,callback_event,0.0
084def30d015439dbb0d3d075268578d:bb0d3d075268578d:0:0,3960,APM-NET,APM-NET,20000000.0
09a7b3c1e50b468b8418826618688e08:8418826618688e08:0:0,227,live_video.applyLiveH5View.custom,sdk_online,0.0
0f3a01b1102d44928e2123576168875a:8e2123576168875a:0:0,196,/init/agreement onFinish Bundle[{}],callback_event,0.0
1277e582810b439eb0ea0b133468a2ad:b0ea0b133468a2ad:0:0,817,callback_event,APM-NET,40000000.0
14b4bade7efa4bbbb167ce0c4168735e:b167ce0c4168735e:0:0,2037,callback_event,callback_event,10000000.0
1546e437a0ca4f73b78d59ee8e685902:b78d59ee8e685902:0:0,208,APM-SERVICE-START,APM-SERVICE-EVENT,0.0
16587d5722934eca9249cb2c3c68b057:9249cb2c3c68b057:0:0,708,RouteMap onFinish,callback_event,0.0
169981e046fe4ba895fac26dbe684463:95fac26dbe684463:0:0,608,patch_req_config,APM-NET,10000000.0
17ae19f54e394de6bfecc8b2ba689d89:bfecc8b2ba689d89:0:0,1813,APM-VIEW-EVENTS,net_success,10000000.0
1a5d9d5e78534433b137cc44c168a010:b137cc44c168a010:0:0,894,callback_event,callback_event,0.0
1bc7945c850546ec98397fd284687293:98397fd284687293:0:0,1830,callback_event,callback_event,10000000.0
1cf074fbdfc5403b929f09688a68aa19:929f09688a68aa19:0:0,805,callback_event,callback_event,0.0
1e9d4223d9f244ba81161ed01368584e:81161ed01368584e:0:0,4451,APM-NET,callback_event,20000000.0
1f8929f39889464aa7e4addac768a8e6:a7e4addac768a8e6:0:0,755,callback_event,callback_event,0.0
210cd4c4b66147ba8497e23185683e7d:8497e23185683e7d:0:0,2428,callback_event,callback_event,10000000.0
2136b64b653842af9f13f5fe4f6875bb:9f13f5fe4f6875bb:0:0,4396,callback_event,callback_event,20000000.0
2153b44de48c4a25a070fffccf689c68:a070fffccf689c68:0:0,1159,callback_event,APM-NET,10000000.0
217b8309150e407d88be8fe7c86838a3:88be8fe7c86838a3:0:0,194,callback_event,APM-SERVICE-EVENT,0.0
21ddcb6911ce4ce399565f6148683887:99565f6148683887:0:0,186,Unable to resolve host gameinfoc.biligame.net,callback_event,0.0
24e4b91ae59b48a98ee72bcac868b98f:8ee72bcac868b98f:0:0,2939,callback_event,callback_event,10000000.0
2723d22bb65c4e10807094917d68394c:807094917d68394c:0:0,1102,callback_event,callback_event,0.0
28e305307bf445699a0189255868bd0a:9a0189255868bd0a:0:0,297,APM-SERVICE-END,APM-SERVICE-EVENT,0.0
28f2f00aa417421da3c13cf246685a6a:a3c13cf246685a6a:0:0,2020,callback_event,callback_event,0.0
2aee97802fbe4c93925d2f62b068b380:925d2f62b068b380:0:0,1885,callback_event,callback_event,10000000.0
2af44be9cd444bfea36377adf86858e5:a36377adf86858e5:0:0,185,live_video.closePanel.custom,login.finish.api,0.0
2c5d8a8521da4755ab9bb4cbd068b715:ab9bb4cbd068b715:0:0,338,callback_event,APM-VIEW-EVENTS,0.0
2d33320fbea54911bf18045b9468b069:bf18045b9468b069:0:0,732,callback_event,callback_event,0.0
2e3fc065bfb549e8bd93cd8d81684095:bd93cd8d81684095:0:0,8364,APM-SERVICE-EVENT,callback_event,30000000.0
2e5d92c553324e288c7d0bcda268386a:8c7d0bcda268386a:0:0,519,callback_event,callback_event,0.0
300aa4a9d2434cbba768a5e986684116:a768a5e986684116:0:0,10136,callback_event,callback_event,40000000.0
30244378c4df40869087a1f05d68876a:9087a1f05d68876a:0:0,204,/auth/anti onFinish Bundle[{}],APM-NET,0.0
3344611d835648139c767ab61f684780:9c767ab61f684780:0:0,780,callback_event,callback_event,0.0
33ba8b40864046cfa53f1a87c468431f:a53f1a87c468431f:0:0,9839,callback_event,callback_event,40000000.0
38e83063a6b94e20b87a86781068a41d:b87a86781068a41d:0:0,1396,callback_event,callback_event,0.0
3ab983c6cf9e404fbf88cbeb7f688649:bf88cbeb7f688649:0:0,5469,callback_event,callback_event,20000000.0
3b666e8f786347eea450c4642368aac3:a450c4642368aac3:0:0,504,agreement.start.api,callback_event,0.0
3b70c7e2399c43e7a052832f8468b71c:a052832f8468b71c:0:0,2632,callback_event,callback_event,10000000.0
3cb47facf31049f49ef27026ac687cc0:9ef27026ac687cc0:0:0,184,oaid_fail,APM-SERVICE-EVENT,0.0
3ef3f0b44e894edd84ef32bce068baf0:84ef32bce068baf0:0:0,160,callback_event,APM-SERVICE-END,0.0
3f0f13e6d49c410f8dcf0310dd68445f:8dcf0310dd68445f:0:0,192,APM-SERVICE-START,sdk_become_active,0.0
409162b6417f4a2784aaa98ace68878e:84aaa98ace68878e:0:0,975,sdk_become_active,callback_event,10000000.0
4115ff00b3ac4f8fb87d810807685a88:b87d810807685a88:0:0,201,APM-SERVICE-EVENT,greet,0.0
421e156cced74034983bb041a668baf6:983bb041a668baf6:0:0,185,APM-SERVICE-EVENT,/auth/tourist_upgrade onFinish Bundle[{}],0.0
4501777f155447ba8c04533ade683884:8c04533ade683884:0:0,198,callback_event,APM-SERVICE-EVENT,0.0
45bdbc31c354436ea3409be93e68b9d4:a3409be93e68b9d4:0:0,175,RouteMap onFinish,callback_event,0.0
4dddd6f3e17740e99be5d8e070688772:9be5d8e070688772:0:0,266,callback_event,init,0.0
4e3d9575d26f4f02a3d148dc2a68918c:a3d148dc2a68918c:0:0,2237,callback_event,callback_event,10000000.0
4e76601f4b4142f28c83abf0c0683c27:8c83abf0c0683c27:0:0,434,callback_event,APM-SERVICE-EVENT,0.0
533aef4fda064a6c8cd252a13568981e:8cd252a13568981e:0:0,2811,APM-NET,APM-NET,20000000.0
53bd328dc88b4561bd4b58f93d68a975:bd4b58f93d68a975:0:0,1110,callback_event,callback_event,0.0
54e40dde28e448d28a2c9bc42668a8a1:8a2c9bc42668a8a1:0:0,342,callback_event,APM-SERVICE-EVENT,0.0
5576b9f8a4c042e18232b28a23683a9f:8232b28a23683a9f:0:0,1317,callback_event,callback_event,10000000.0
5772c2d9ac914ab5914468e21a6884f9:914468e21a6884f9:0:0,813,callback_event,callback_event,0.0
583c63cfb0a54bcca857ef7367686da5:a857ef7367686da5:0:0,199,callback_event,/init/push_authdialog onFinish Bundle[{}],0.0
59286d7ab46b4ba8a25489fcab68b867:a25489fcab68b867:0:0,12077,callback_event,callback_event,40000000.0
597f3b88c38840cfb30344716768b9bf:b30344716768b9bf:0:0,1700,APM-SERVICE-START,callback_event,10000000.0
59dc53227199473b8a31ea72c56846f3:8a31ea72c56846f3:0:0,9236,callback_event,callback_event,40000000.0
5a4f97af2cb14b788303dbf78b688ae9:8303dbf78b688ae9:0:0,2650,callback_event,APM-NET,10000000.0
5d831425520e401ab5912a3e7a686565:b5912a3e7a686565:0:0,628,callback_event,callback_event,0.0
5eb049df6373428c97d30080ab68a03b:97d30080ab68a03b:0:0,974,callback_event,APM-NET,10000000.0
5f0043cc4fba4e9581aa931f8f683975:81aa931f8f683975:0:0,199,APM-VIEW-EVENTS,callback_event,0.0
60cadecbec5240b1aa08c6941c687462:aa08c6941c687462:0:0,1144,callback_event,callback_event,10000000.0
617721403608470c8790337ab968b91e:8790337ab968b91e:0:0,5539,APM-SERVICE-END,callback_event,30000000.0
629aec46f9d64f9c8857dd92cd684f9f:8857dd92cd684f9f:0:0,1855,callback_event,callback_event,10000000.0
664db97d4ff840fbaa5c66ac7868b39a:aa5c66ac7868b39a:0:0,247,callback_event,APM-SERVICE-EVENT,0.0
670a46adb32e462fabfb6b65aa689af0:abfb6b65aa689af0:0:0,189,APM-NET,APM-VIEW-EVENTS,0.0
69285af58f8d496392e0bf7a82689eff:92e0bf7a82689eff:0:0,196,APM-SERVICE-START,callback_event,0.0
6a5d7c4dda004a50a9b176c04068a1d0:a9b176c04068a1d0:0:0,675,callback_event,callback_event,0.0
6adcf36e3ec645c5bbd7afa0f0687cc0:bbd7afa0f0687cc0:0:0,200,sdk_enter_background,callback_event,0.0
6afed3d73569422f9a2276d6c2688e0a:9a2276d6c2688e0a:0:0,618,callback_event,APM-SERVICE-EVENT,0.0
6c65b7c200194c9f9e63cdb678683f0c:9e63cdb678683f0c:0:0,10844,callback_event,callback_event,40000000.0
6c6e5a23328d4f20beee39438068ab0b:beee39438068ab0b:0:0,188,APM-SERVICE-EVENT,triple_no.start.api,0.0
6c7b5932f5bb4df981beed780c686cf0:81beed780c686cf0:0:0,1530,callback_event,APM-NET,10000000.0
6c984b705ede489aa6a3e659b568430b:a6a3e659b568430b:0:0,1574,api,callback_event,10000000.0
6d8f336d5d8d4dba8e1ae2659868ac1e:8e1ae2659868ac1e:0:0,159,APM-SERVICE-EVENT,login.start.api,0.0
6dc64c5bf76940eea7ca15b374683864:a7ca15b374683864:0:0,51,Failed to connect to gameinfoc.biligame.net,callback_event,0.0
6e8d9b18ff944a2db817906da0684570:b817906da0684570:0:0,7767,callback_event,callback_event,30000000.0
6ed6d0bc2807428c8571560ef468aad7:8571560ef468aad7:0:0,161,APM-NET,/auth/anti onFinish Bundle[{}],0.0
72b2156e46934514bfd115b8fa6896e0:bfd115b8fa6896e0:0:0,847,callback_event,APM-SERVICE-START,0.0
756e50712da94e168ae895e0fa68a9fb:8ae895e0fa68a9fb:0:0,720,callback_event,callback_event,0.0
78bbab5f82ae4989b4f9be1830683b31:b4f9be1830683b31:0:0,276,Failed to connect to gameinfoc.biligame.net,triple_no.start.api,0.0
78ed199c5f31432ab5fbadae386889f3:b5fbadae386889f3:0:0,2445,callback_event,callback_event,10000000.0
78f2e731937b4d61998f90608b6839bf:998f90608b6839bf:0:0,182,sdk_become_active,APM-SERVICE-END,0.0
795fc8eeabaa45309859f4881368871c:9859f4881368871c:0:0,1576,callback_event,callback_event,0.0
796034ce667b4931b29f63ea716874a1:b29f63ea716874a1:0:0,2495,callback_event,/auth/anti_remind onFinish Bundle[{}],20000000.0
7b66c799d0494f46bd96db622e689977:bd96db622e689977:0:0,3518,callback_event,callback_event,10000000.0
7c1807d36f82403080890c76d668b54a:80890c76d668b54a:0:0,8217,callback_event,callback_event,80000000.0
7ee5a1fc602c41cb99b2d275856868cf:99b2d275856868cf:0:0,1606,callback_event,callback_event,10000000.0
7efe6629d2ef4793b09142e42568875b:b09142e42568875b:0:0,891,callback_event,APM-SERVICE-EVENT,0.0
7f5847320ec4497f88f92040c3686ce8:88f92040c3686ce8:0:0,293,callback_event,net_success,0.0
8239510eb97f4d93b24cdb961b68751d:b24cdb961b68751d:0:0,581,callback_event,callback_event,0.0
82666f1d5ce24deca2eac1acf3686609:a2eac1acf3686609:0:0,182,APM-VIEW-END,/init/push_authdialog onFinish Bundle[{}],0.0
853381d412914370b3227c896b683edf:b3227c896b683edf:0:0,627,callback_event,callback_event,0.0
862ce6b34a1a49e38a30937d9f68b523:8a30937d9f68b523:0:0,543,callback_event,callback_event,0.0
87e73e82e6af4922826a97585e68a69a:826a97585e68a69a:0:0,159,login.finish.api,APM-SERVICE-START,0.0
8c1ad5a864f94220bbf736cb866899ad:bbf736cb866899ad:0:0,1314,APM-SERVICE-END,callback_event,10000000.0
8cbef9bf768643ee8a1e6b6fcb68737b:8a1e6b6fcb68737b:0:0,864,callback_event,net_fail,0.0
8d879ef6580c440a83dffd63a4686790:83dffd63a4686790:0:0,392,callback_event,callback_event,0.0
8dec16ba1caf48c1a203db4132689f03:a203db4132689f03:0:0,389,APM-NET,APM-SERVICE-START,0.0
8e33599f57de4f5caeb420812e68affa:aeb420812e68affa:0:0,451,callback_event,callback_event,0.0
8f405a36e2e44d4697d4ee698968389a:97d4ee698968389a:0:0,182,Unable to resolve host gameinfoc.biligame.net,callback_event,0.0
8ff41a1e29a541f9a1cc258d756888e0:a1cc258d756888e0:0:0,191,real_name.start.api,APM-SERVICE-EVENT,0.0
8ffae41ae13c4b4eb46161c698687348:b46161c698687348:0:0,1086,callback_event,callback_event,0.0
9000e17baf1d4d6099f85af73b68aeab:99f85af73b68aeab:0:0,244,callback_event,anti.start.api,0.0
90dc574ce14b4cfba46d8af12c6896d8:a46d8af12c6896d8:0:0,808,callback_event,callback_event,0.0
913f55a4853f4875b2b34654c868a0f1:b2b34654c868a0f1:0:0,206,APM-VIEW-END,APM-SERVICE-START,0.0
93372159860f40ccae25ff0a40683fda:ae25ff0a40683fda:0:0,11901,callback_event,callback_event,40000000.0
96b6f00f9d524a3fbe9c1b31ba68836d:be9c1b31ba68836d:0:0,3778,callback_event,callback_event,20000000.0
97f091986b8d43218fe88f465d68a984:8fe88f465d68a984:0:0,1155,net_success,callback_event,0.0
9abc52876f444f33aa0b587693688449:aa0b587693688449:0:0,3361,callback_event,callback_event,10000000.0
9b1553c56aa046adbdb3d67d3468843e:bdb3d67d3468843e:0:0,875,callback_event,callback_event,0.0
9d329389de82417eb8f71ba4fb686b57:b8f71ba4fb686b57:0:0,1956,callback_event,callback_event,0.0
9d887a4b398d4fdca050212e2668a898:a050212e2668a898:0:0,608,APM-NET,callback_event,0.0
a05b4939a8ba4c4891c34a738e689ad0:91c34a738e689ad0:0:0,1686,callback_event,callback_event,0.0
a2f04df95743434fb459aada2c6865d6:b459aada2c6865d6:0:0,2084,APM-SERVICE-START,callback_event,10000000.0
a32b19ce42944b229d0c27a505686dbb:9d0c27a505686dbb:0:0,843,callback_event,APM-VIEW-END,0.0
a456d8a66381457888e14cb94e68a8a5:88e14cb94e68a8a5:0:0,1181,callback_event,APM-NET,10000000.0
a58e2330b4ba49e9b523c3528b68a571:b523c3528b68a571:0:0,577,callback_event,APM-NET,10000000.0
a6ad733e78d243c2ba73229cb7683ee6:ba73229cb7683ee6:0:0,1764,callback_event,net_success,10000000.0
a6d9462bf2484ef18701685ea8684417:8701685ea8684417:0:0,4472,sdk_become_active,callback_event,20000000.0
a729ac0e77084a30a27d4d157268a859:a27d4d157268a859:0:0,831,real_name.start.api,callback_event,20000000.0
a82dd80ed65a494c927f0af23468aff0:927f0af23468aff0:0:0,972,callback_event,callback_event,0.0
ae7d2dde993f4489aa68205f1f683989:aa68205f1f683989:0:0,553,callback_event,APM-SERVICE-EVENT,0.0
ae9a22298b9946928ea6bc866a684789:8ea6bc866a684789:0:0,4017,callback_event,callback_event,10000000.0
af1d565b047f4256817c5be1ea684109:817c5be1ea684109:0:0,997,sdk_become_active,callback_event,10000000.0
b10abea88aa24d8a8ef2f21ba3689584:8ef2f21ba3689584:0:0,1717,callback_event,callback_event,10000000.0
b220d663aaf04154a3609c1fcf688c33:a3609c1fcf688c33:0:0,561,callback_event,callback_event,0.0
b39b5822fa5c491e81b22dc4a2686787:81b22dc4a2686787:0:0,217,net_success,APM-SERVICE-EVENT,0.0
b46198d898c64419822e37ae7f686799:822e37ae7f686799:0:0,671,callback_event,sdk_become_active,0.0
b9c21b9967ec467892659103e868b4c7:92659103e868b4c7:0:0,3308,callback_event,APM-NET,20000000.0
baa33833597d4e1d9237d8764568aa9b:9237d8764568aa9b:0:0,1508,callback_event,callback_event,10000000.0
bdebd7f997de4385a63f093ccb6858e6:a63f093ccb6858e6:0:0,1593,callback_event,callback_event,0.0
